organizations,fullName,location,status,typeOfDeath,charges,startDisplay,mtpage,country,type,motiveConfirmed,year,month
Continue Production Films,Khaled Reyadh Hamad,Gaza,Killed,Crossfire,,20-Jul-14,https://cpj.org/data/people/khaled-reyadh-hamad/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2014,July
Al-Aqsa TV,Khalil Abu Aathra,Unknown,Killed,Dangerous Assignment,,19-Oct-23,https://cpj.org/data/people/khalil-abu-aathra/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Al-Aqsa,Mahmoud al-Kumi,Gaza Strip,Killed,Crossfire,,20-Nov-12,https://cpj.org/data/people/mahmoud-al-kumi/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2012,November
Al-Jamaheer,Majd Fadl Arandas,Unknown,Killed,Dangerous Assignment,,1-Nov-23,https://cpj.org/data/people/majd-fadl-arandas/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Palestine TV,Majed Kashko,Unknown,Killed,,,31-Oct-23,https://cpj.org/data/people/majed-kashko/,Israel and the Occupied Palestinian Territory,Media Worker,,2023,October
Al-Aqsa TV,Mohamad Al-Bayyari,Gaza City,Killed,Dangerous Assignment,,2-Nov-23,https://cpj.org/data/people/mohamad-al-bayyari/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Al-Rai,Mohamad Al-Iff,Gaza City,Killed,Dangerous Assignment,,24-Dec-23,https://cpj.org/data/people/mohamad-al-iff/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
An-Najah National University Radio,Mohamed Abu Halima,West Bank,Killed,Crossfire,,22-Mar-04,https://cpj.org/data/people/mohamed-abu-halima/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2004,March
WAFA,Mohamed Abu Hassira,Unknown,Killed,Dangerous Assignment,,7-Nov-23,https://cpj.org/data/people/mohamed-abu-hassira/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Palestine TV,Mohamed Al Jaja,Unknown,Killed,,,5-Nov-23,https://cpj.org/data/people/mohamed-al-jaja/,Israel and the Occupied Palestinian Territory,Media Worker,,2023,November
